User,Person,Current Age,Retirement Age,Birth Year,Birth Month,Gender,Address,Apartment,City,State,Zipcode,Latitude,Longitude,Per Capita Income - Zipcode,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards
50,Chaya Howard,42,68,1977,12,Female,28 Hillside Boulevard,4,Canton,MI,48188,42.3,-83.48,32078.00,65403.00,80057.00,784,4
51,Kyleigh Rogers,55,73,1964,11,Female,446 Birch Drive,,La Follette,TN,37766,36.37,-84.12,13522.00,27572.00,59404.00,797,1
52,Mikaela Martin,48,70,1971,12,Female,578 Maple Avenue,,Inman,SC,29349,35.05,-82.09,18899.00,38539.00,0.00,850,3
53,Luella Perry,41,57,1978,7,Female,14 Valley Drive,,Poca,WV,25159,38.47,-81.81,18666.00,38059.00,68220.00,634,2
54,Lainey Gutierrez,59,68,1960,11,Female,2475 Little Creek Boulevard,,Leander,TX,78641,30.56,-97.86,25872.00,52754.00,38191.00,693,5
55,Marvin Anwar,45,59,1975,2,Male,9604 Catherine Drive,,Rego Park,NY,11374,40.72,-73.86,25109.00,51196.00,67164.00,631,4
56,Holden Taylor,26,70,1993,7,Male,349 First Drive,,Atlanta,GA,30318,33.78,-84.44,24382.00,49713.00,91776.00,763,1
57,Aiyana Abe,21,68,1998,4,Female,7914 Essex Boulevard,46,Toledo,OH,43623,41.66,-83.58,21660.00,44160.00,134173.00,696,3
58,Milani Merkel,46,59,1973,5,Female,524 Ocean Drive,87,Houston,TX,77056,29.76,-95.38,95039.00,193773.00,241571.00,660,1
59,Princess Cooper,41,66,1979,2,Female,2079 Maple Drive,,Mount Union,PA,17066,40.38,-77.88,14650.00,29864.00,44902.00,717,2
60,Wyatt Davis,22,67,1997,7,Male,295 Valley Drive,,San Antonio,TX,78232,29.45,-98.5,28135.00,57367.00,115418.00,795,2
61,Nathalie Faraday,63,58,1957,2,Female,2883 Ocean View Boulevard,1,Black Diamond,WA,98010,47.32,-121.99,32697.00,56635.00,13015.00,786,8
62,Erik Chen,44,67,1975,3,Male,5125 Elm Drive,,Ogden,UT,84414,41.31,-111.96,23165.00,47227.00,151030.00,760,4
63,Gatlin Morris,22,68,1997,10,Male,4098 Park Drive,8,Fort Worth,TX,76115,32.75,-97.33,12051.00,24574.00,80667.00,674,3
64,Eloise Bennett,29,65,1991,1,Female,892 Spruce Street,,Saint Albans,NY,11412,40.69,-73.75,21283.00,43397.00,42168.00,697,2
65,Leighton Wood,28,72,1991,6,Female,9977 Oak Avenue,,Oxford,MD,21654,38.68,-76.17,28497.00,58105.00,70254.00,688,3
66,Layne Butler,82,67,1937,6,Male,79 South Boulevard,,Gonzales,TX,78629,29.5,-97.44,15092.00,10869.00,1820.00,820,2
67,Janiyah Foster,90,66,1929,6,Female,145 River Drive,,Allentown,PA,18102,40.59,-75.47,12427.00,19893.00,1712.00,566,3
68,Jagger Braun,63,65,1956,8,Male,7605 Essex Boulevard,,Mount Vernon,OH,43050,40.39,-82.47,18019.00,36743.00,71719.00,612,2
69,Brianna Powell,49,70,1970,7,Female,480 Seventh Lane,1,Trenton,NJ,8610,40.22,-74.76,22747.00,46377.00,79980.00,719,3
70,Elle Clark,36,69,1983,10,Female,5506 Fifth Boulevard,8012,Gardena,CA,90248,33.88,-118.27,24611.00,50179.00,110515.00,743,1
71,Nathan Merkel,30,65,1989,11,Male,136 Spruce Street,,Petaluma,CA,94955,38.22,-122.55,26748.00,54537.00,121987.00,765,4
72,Kristopher Nelson,23,66,1996,12,Male,306 First Drive,62,Apopka,FL,32712,28.68,-81.51,24155.00,49255.00,6557.00,823,2
73,Asher Ortiz,42,65,1977,10,Male,272 Burns Boulevard,,Summit Argo,IL,60501,41.77,-87.82,15221.00,31031.00,21853.00,744,7
74,Tristian Walker,65,66,1955,1,Male,190 Sixth Drive,,Rockwall,TX,75032,32.92,-96.45,34659.00,70673.00,87605.00,714,4
75,Emily Parker,87,57,1932,10,Female,8569 Wessex Boulevard,,Birmingham,AL,35211,33.52,-86.79,13263.00,16342.00,1758.00,747,5
76,Dangelo Ortiz,22,65,1997,9,Male,385 Lexington Boulevard,4,Seminole,TX,79360,32.71,-102.65,15183.00,30961.00,42597.00,677,1
77,Ariana Cook,58,67,1961,3,Female,407 Park Lane,,Islandton,SC,29929,32.9,-80.93,14864.00,30305.00,23392.00,776,3
78,Santana Myers,30,68,1989,3,Male,5142 Little Creek Street,,Edmond,OK,73034,35.67,-97.41,33736.00,68784.00,198417.00,696,4
79,Faye Walker,25,71,1994,8,Female,224 Mountain View Boulevard,,Kalispell,MT,59901,48.19,-114.38,17040.00,34745.00,26503.00,691,4
80,Rebecca Gonzalez,18,67,2001,11,Female,4735 Fifth Avenue,1,Baton Rouge,LA,70808,30.44,-91.12,31741.00,64715.00,174664.00,740,3
81,Nadia Perry,59,69,1961,2,Female,4793 North Street,17,Mars,PA,16046,40.69,-80.01,39464.00,80464.00,76261.00,727,3
82,Lizbeth Baker,18,67,2002,2,Female,72 El Camino Boulevard,,Pittsburgh,PA,15220,40.43,-79.97,24400.00,49748.00,23161.00,748,1
83,Bryan Fox,61,58,1958,11,Male,381 Fifth Lane,6,Ontario,CA,91764,34.07,-117.62,16113.00,41904.00,12545.00,655,4
84,Juliette Howard,54,70,1965,9,Female,393 Mountain View Lane,,Newport Coast,CA,92657,33.6,-117.82,96516.00,196784.00,437533.00,729,3
85,Bella Kelley,27,66,1992,3,Female,293 Wessex Street,2,Northville,MI,48168,42.4,-83.6,49458.00,100837.00,61377.00,687,2
86,Jordy Bailey,32,65,1987,6,Male,7276 Fourth Drive,,Fenton,MI,48430,42.8,-83.71,25334.00,51654.00,95454.00,600,4
87,Amelia Fernandez,64,69,1955,6,Female,327 Lafayette Boulevard,457,Lancaster,OH,43130,39.72,-82.59,18680.00,38088.00,51679.00,691,2
88,Bjorn Schmidt,18,69,2001,8,Male,2846 Lake Avenue,,Welsh,LA,70591,30.23,-92.81,18082.00,36866.00,0.00,680,2
89,Skylar James,52,70,1967,9,Male,2093 Ocean Street,,Oakland,CA,94606,37.78,-122.24,18443.00,37607.00,63689.00,749,5
90,Mae Farhad,49,66,1970,10,Female,981 Fifth Boulevard,,Fort Morgan,CO,80701,40.26,-103.79,16910.00,34480.00,58795.00,696,1
91,Nikolai Cruz,43,66,1977,1,Male,18 Norfolk Boulevard,,Madison,WI,53716,43.07,-89.38,23680.00,48279.00,114254.00,719,2
92,Jared Hill,36,65,1983,7,Male,977 Littlewood Avenue,,Panama City,FL,32401,30.17,-85.67,16133.00,32896.00,69800.00,735,2
93,Jeremias Russell,18,71,2001,6,Male,993 Mountain View Avenue,,Perris,CA,92570,33.78,-117.33,14667.00,29909.00,42832.00,664,2
94,Aubrielle Roman,37,64,1982,12,Female,896 Rose Street,,Minneapolis,MN,55433,44.96,-93.26,23278.00,47464.00,83591.00,716,1
95,Carla James,23,64,1996,5,Female,2418 Mill Drive,3999,San Jose,CA,95129,37.3,-122,41750.00,85128.00,108678.00,641,1
96,Kase Nguyen,54,69,1965,9,Male,3683 Fifth Street,7760,Mount Holly,NC,28120,35.3,-81.03,22487.00,45852.00,114746.00,615,2
97,Annalee Sanders,33,67,1986,7,Female,0 Elm Street,,Glendale,AZ,85301,33.53,-112.18,13024.00,26556.00,43042.00,840,2
98,Journee Collins,63,67,1956,11,Female,2302 Catherine Lane,,Hollywood,FL,33024,26.02,-80.16,19712.00,40194.00,107765.00,738,6
99,Trent Davis,22,67,1998,2,Male,213 Rose Drive,,Irving,TX,75038,32.85,-96.96,30475.00,62135.00,75209.00,676,2
100,Zavier Phillips,48,65,1972,1,Male,8975 Littlewood Boulevard,,Cape Coral,FL,33914,26.63,-81.99,19274.00,39303.00,23650.00,702,7
101,Ivory Peres,63,64,1956,3,Female,1389 Park Lane,,Waldorf,MD,20603,38.64,-76.9,35114.00,71593.00,132181.00,821,3
102,Ace Bailey,75,67,1944,12,Male,2890 Eighth Lane,,Maywood,IL,60153,41.88,-87.84,15451.00,22158.00,19101.00,681,5
103,Agustin Reyes,62,66,1957,6,Male,20 Littlewood Boulevard,5,Howard Beach,NY,11414,40.66,-73.84,26481.00,53996.00,98211.00,632,4
104,Hannah Chen,28,73,1991,10,Female,6413 Second Street,,Pensacola,FL,32505,30.44,-87.18,12766.00,26025.00,23971.00,723,4
105,Zahra Williams,25,69,1994,11,Female,611 Elm Lane,,Yonkers,NY,10710,40.94,-73.86,31299.00,63816.00,100128.00,775,1
106,Estelle Richardson,56,73,1964,1,Female,889 Martin Luther King Avenue,,Apex,NC,27502,35.72,-78.84,32485.00,66230.00,90248.00,742,3
107,Lochlan Morris,56,56,1963,10,Male,336 Rose Avenue,,Chicago,IL,60616,41.83,-87.68,25365.00,36335.00,28929.00,676,2
108,Simone Carter,59,61,1961,2,Female,4254 Plum Lane,,Westminster,CA,92683,33.74,-117.99,19438.00,39633.00,58586.00,777,3
109,Zariah Mitchell,43,69,1976,8,Female,825 Sussex Avenue,,Dyer,IN,46311,41.5,-87.5,28048.00,57185.00,0.00,773,3
110,Samuel Fu,37,69,1982,11,Male,185 Forest Drive,,Marietta,GA,30068,33.95,-84.54,40530.00,82637.00,84762.00,739,2
111,Virginia Gutierrez,60,57,1960,1,Female,561 Martin Luther King Avenue,,Novi,MI,48375,42.47,-83.49,34259.00,31121.00,32768.00,619,5
112,Isaias Robinson,47,67,1972,11,Male,335 Valley Stream Boulevard,,Gonzales,TX,78629,29.5,-97.44,15092.00,30774.00,51428.00,700,3
113,Eduardo Wood,48,67,1971,12,Male,1773 Hill Street,,Shelbyville,IL,62565,39.4,-88.8,16300.00,33236.00,57549.00,747,1
114,Parker Howard,35,65,1984,10,Male,55 Ocean View Street,,Amarillo,TX,79110,35.2,-101.81,18613.00,37947.00,49951.00,683,3
115,Kendrick Brooks,24,65,1995,11,Male,8245 El Camino Lane,5,Wichita,KS,67207,37.68,-97.34,21518.00,43875.00,128146.00,639,1
116,Maci Diaz,26,66,1993,5,Female,9530 Washington Street,,Novato,CA,94947,38.1,-122.63,30335.00,61850.00,81158.00,728,9
117,Matias Farhad,28,71,1991,5,Male,221 Lexington Avenue,,Savannah,GA,31420,32.08,-81.1,19770.00,40314.00,131348.00,707,4
118,Silas Ward,26,67,1993,8,Male,2484 Norfolk Drive,1,Milford,DE,19963,38.91,-75.43,18622.00,37968.00,55982.00,788,3
119,Roland Gonzalez,41,67,1978,11,Male,133 Grant Lane,,Fremont,MI,49412,43.46,-85.95,17145.00,34954.00,45456.00,772,3
120,Yehuda Jones,40,74,1979,9,Male,1977 Lake Avenue,,Woodland Hills,CA,91364,34.15,-118.6,47055.00,95945.00,222735.00,772,2
121,Kaelyn Anwar,18,58,2002,2,Female,352 George Street,6,Fort Gratiot,MI,48059,43.07,-82.49,16598.00,33844.00,42109.00,684,2
122,Justice Ortiz,66,67,1953,4,Male,554 Grant Boulevard,,Andover,KS,67002,37.69,-97.13,32162.00,65573.00,143069.00,739,4
123,Messiah Bell,40,66,1979,7,Male,631 Ocean View Street,2,Madison,WI,53704,43.07,-89.38,23840.00,48609.00,43520.00,737,3
124,Keira Wright,45,70,1974,5,Female,31 Jefferson Boulevard,,Fernwood,ID,83830,47.09,-116.46,12618.00,25723.00,34007.00,746,3
125,Caylee Gutierrez,19,72,2000,3,Female,973 Federal Avenue,,Daphne,AL,36526,30.62,-87.89,25495.00,51984.00,79152.00,691,3
126,Angel Hill,34,65,1986,2,Male,95266 Bayview Drive,,Oakland,CA,94611,37.83,-122.22,52813.00,107683.00,225017.00,694,3
127,Bridget Faraday,24,69,1996,2,Female,932 Essex Street,6,Perris,CA,92571,33.83,-117.2,16109.00,32847.00,33514.00,721,2
128,Sebastian Lee,57,66,1963,1,Male,126 Valley Drive,,Jackson,MS,39213,32.32,-90.2,11061.00,22556.00,43260.00,645,4
129,Lizbeth Garcia,35,54,1984,9,Female,239 South Drive,,Aberdeen,MD,21001,39.51,-76.17,22590.00,46063.00,106528.00,618,1
130,Ximena Davis,19,65,2000,9,Female,1134 Valley Drive,2623,Farmington,CT,6032,41.71,-72.83,46762.00,95348.00,71972.00,706,3
131,Haley Braun,28,65,1992,1,Female,5863 Grant Avenue,,Wellsville,KS,66092,38.71,-95.08,22158.00,45180.00,13168.00,698,2
132,Kalel Hughes,37,69,1982,4,Male,3472 11th Avenue,5,Orlando,FL,32822,28.5,-81.37,15137.00,30865.00,55079.00,594,1
133,Korbin Roman,20,69,1999,11,Male,5590 Bayview Avenue,200,Avoca,MI,48006,43.05,-82.67,20377.00,41543.00,49021.00,732,4
134,Kenny Gray,53,73,1966,9,Male,94 Jefferson Drive,8211,Tyler,TX,75706,32.32,-95.3,14811.00,30198.00,40950.00,693,6
135,Adilynn Wood,45,64,1974,12,Female,582 Birch Boulevard,,Fort Myers,FL,33901,26.63,-81.85,19621.00,40006.00,72794.00,621,1
136,Kace Chen,53,68,1966,5,Male,809 Mountain View Boulevard,,Olathe,KS,66062,38.88,-94.81,30232.00,61646.00,0.00,693,3
137,Abril Cook,39,67,1980,10,Female,6339 Fourth Street,,Reisterstown,MD,21136,39.45,-76.81,33175.00,67643.00,0.00,714,6
138,Ivy Gutierrez,86,71,1933,5,Female,81 Hill Avenue,66,Detroit,MI,48235,42.38,-83.1,13820.00,22650.00,0.00,690,6
139,Garrett Macron,63,67,1956,10,Male,28136 Wessex Street,,Brooklyn,NY,11212,40.64,-73.94,14856.00,30288.00,42745.00,689,4
140,Nolan Sadr,67,65,1952,10,Male,8787 Rose Avenue,,San Francisco,CA,94112,37.72,-122.44,22549.00,47213.00,1082.00,789,5
141,Marianna Gutierrez,76,66,1943,10,Female,96 Ninth Lane,,Konawa,OK,74849,34.95,-96.75,15005.00,28215.00,18116.00,697,2
142,Stetson Thomas,32,55,1987,4,Male,3249 12th Drive,,Woodinville,WA,98077,47.75,-122.04,51751.00,105515.00,192458.00,646,4
143,Vicente Martinez,36,68,1983,12,Male,9340 Valley Street,20,Bradenton,FL,34207,27.48,-82.57,13972.00,28489.00,6087.00,808,4
144,Amayah Thomas,63,69,1956,9,Female,6429 Fifth Avenue,42,Charlotte,NC,28226,35.19,-80.83,39752.00,81048.00,156195.00,781,4
145,Zelda Ward,19,62,2000,12,Female,849 George Avenue,,Easton,MD,21601,38.77,-76.06,23180.00,47263.00,74853.00,726,2
146,Drake Howard,19,71,2000,7,Male,804 Seventh Boulevard,,Redding,CA,96002,40.52,-122.32,16585.00,33816.00,77770.00,635,1
147,Danielle Carter,25,69,1994,9,Female,76009 Valley Stream Boulevard,,Waukegan,IL,60085,42.37,-87.86,15770.00,32160.00,62803.00,634,1
148,Kora Bailey,83,65,1936,8,Female,387 Third Boulevard,,Rio Rico,AZ,85648,31.5,-111.06,15462.00,29494.00,1196.00,689,5
149,Emery Mitchell,68,63,1951,3,Female,6398 Lake Lane,,Franklin,TN,37067,35.92,-86.84,36563.00,70554.00,39078.00,655,5
150,Zayn Nguyen,63,62,1956,9,Male,786 12th Drive,10,Wheeling,IL,60090,42.13,-87.92,23098.00,33686.00,24997.00,488,2
151,Myah Gray,92,72,1927,8,Female,290 Forest Street,,Tucson,AZ,85749,32.28,-110.73,30818.00,57732.00,2261.00,726,6
152,Cash Watson,21,65,1998,3,Male,320 Hillside Lane,,Memphis,TN,38106,35.1,-90,10730.00,21879.00,69638.00,762,1
153,Benson Xi,28,65,1991,5,Male,437 Ocean View Drive,,State College,PA,16801,40.79,-77.85,25031.00,51041.00,106989.00,686,1
154,Bjorn Perez,18,69,2002,1,Male,9850 Birch Drive,,West Roxbury,MA,2132,42.28,-71.16,34519.00,70380.00,106797.00,725,2
155,Edward Abe,25,64,1994,8,Male,55 Third Drive,,Elmwood Park,IL,60707,41.92,-87.81,20902.00,42617.00,67590.00,771,5
156,Shepard Lopez,75,65,1944,7,Male,177 Mill Boulevard,,Manahawkin,NJ,8050,39.69,-74.25,21861.00,46031.00,8332.00,661,5
157,Estrella Sullivan,55,66,1964,10,Female,886 Little Creek Drive,,Delmar,NY,12054,42.62,-73.83,31927.00,65094.00,23909.00,699,3
158,Jane Brooks,27,65,1993,2,Female,327 Seventh Boulevard,,Lexington,KY,40517,38.04,-84.45,18278.00,37268.00,50388.00,626,1
159,Zaria Brooks,53,67,1967,2,Female,8224 Fourth Drive,,Waterbury,CT,6705,41.55,-73.03,19114.00,38972.00,44098.00,738,3
160,Elsa Gonzalez,63,64,1957,2,Female,174 Catherine Boulevard,948,Compton,CA,90222,33.91,-118.23,13075.00,26661.00,42667.00,750,5
161,Atticus Abe,48,66,1971,9,Male,496 Hill Lane,,Minneapolis,MN,55419,44.96,-93.26,40364.00,82295.00,1555.00,736,4
162,Alfonso Gao,47,68,1972,9,Male,23068 Park Street,2,Lansing,NC,28643,36.49,-81.5,12630.00,25748.00,41455.00,738,3
163,Ronin White,56,65,1963,11,Male,27019 Madison Lane,,Bean Station,TN,37708,36.34,-83.28,13668.00,27861.00,108313.00,782,5
164,Gannon Baker,18,72,2001,12,Male,293 First Boulevard,,Redlands,CA,92374,34.06,-117.17,23820.00,48561.00,0.00,752,1
165,Nicole Gomez,66,69,1953,4,Female,8929 Essex Drive,,Bloomington,IN,47403,39.16,-86.52,19125.00,38999.00,64875.00,747,4
166,Korbin Long,62,66,1957,4,Male,1569 George Boulevard,,Bailey,NC,27807,35.78,-78.11,16239.00,33112.00,56040.00,716,2
167,Melina Wright,34,66,1985,10,Female,326 Elm Lane,5,Charlotte,NC,28211,35.19,-80.83,49477.00,100880.00,210445.00,770,1
168,Briar Smith,22,65,1997,11,Male,32 Valley Drive,,Oxnard,CA,93031,34.21,-119.18,18175.00,37058.00,50548.00,680,2
169,Yahya Anderson,24,58,1995,3,Male,4132 Norfolk Boulevard,3,Hyattsville,MD,20785,38.95,-76.95,23166.00,47234.00,89154.00,685,3
170,Florence Masvidal,45,72,1974,5,Female,819 El Camino Boulevard,,Cushing,OK,74023,35.97,-96.76,17237.00,35142.00,107898.00,731,4
171,Danna Torres,43,65,1976,3,Female,742 Lake Street,,Coos Bay,OR,97420,43.37,-124.14,15069.00,30721.00,49961.00,749,3
172,Paityn King,56,67,1963,12,Female,607 George Boulevard,,Acworth,GA,30101,34.05,-84.67,28862.00,58846.00,126806.00,746,3
173,Layne Green,29,68,1990,6,Male,704 Eighth Avenue,,Waterville,NY,13480,42.93,-75.38,19161.00,39069.00,63884.00,720,2
174,Sasha Gao,20,65,2000,2,Female,8643 Lafayette Boulevard,,Lawrenceville,GA,30043,33.94,-83.99,24252.00,49449.00,30723.00,728,3
175,Yamileth Mitchell,39,73,1980,3,Female,63 Plum Street,,Stearns,KY,42647,36.69,-84.47,10942.00,22312.00,39445.00,720,5
176,Mateo Robinson,32,72,1987,4,Male,5381 12th Boulevard,6,Miami,OK,74355,36.88,-94.87,17845.00,36388.00,92949.00,710,4
177,Izabella Phillips,52,68,1967,8,Female,65 Fifth Boulevard,,Saint Cloud,FL,34771,28.24,-81.28,22086.00,45037.00,31792.00,710,3
178,Samantha Gonzalez,47,63,1972,10,Female,2614 Eighth Lane,,Waupaca,WI,54981,44.35,-89.07,18937.00,38615.00,74337.00,601,4
179,Bentlee Garcia,40,61,1979,7,Male,196 Plum Lane,,Bronx,NY,10458,40.84,-73.87,13845.00,28229.00,55675.00,622,5
180,Sarah Clark,58,67,1961,11,Female,444 Maple Avenue,990,Noblesville,IN,46060,40.05,-86.03,24638.00,50232.00,1218.00,751,4
181,Judah Jones,59,66,1960,5,Male,868 Maple Drive,,Greenville,KY,42345,37.2,-87.17,16847.00,34350.00,61639.00,705,3
182,Bentley Lopez,47,69,1972,11,Male,6009 River Avenue,,Canton,GA,30114,34.24,-84.49,25654.00,52308.00,135319.00,679,1
183,Juliet Hughes,27,66,1992,8,Female,2058 Spruce Street,,Saint Petersburg,FL,33709,27.75,-82.64,15724.00,32061.00,58904.00,676,1
184,Javon Long,75,69,1945,2,Male,6930 East Lane,,Tooele,UT,84074,40.57,-112.33,21749.00,21154.00,5764.00,705,6
185,Allie Sullivan,52,72,1967,10,Female,31204 El Camino Lane,,Austin,TX,78728,30.26,-97.74,25594.00,52186.00,42852.00,737,4
186,Kassidy Morgan,43,70,1976,5,Female,967 First Avenue,4,Pierceton,IN,46562,41.19,-85.7,17294.00,35264.00,70328.00,770,2
